year,month,DATE,ICEN
1993,5,1993-05-01,1.26
1993,6,1993-06-01,1.08
1993,7,1993-07-01,0.85
1993,8,1993-08-01,0.6
1993,9,1993-09-01,0.52
1993,10,1993-10-01,0.38
1993,11,1993-11-01,0.21
1993,12,1993-12-01,0.03
1994,1,1994-01-01,-0.1
1994,2,1994-02-01,-0.36
1994,3,1994-03-01,-0.76
1994,4,1994-04-01,-1.0
1994,5,1994-05-01,-0.97
1994,6,1994-06-01,-0.83
1994,7,1994-07-01,-0.86
1994,8,1994-08-01,-0.63
1994,9,1994-09-01,-0.11
1994,10,1994-10-01,0.38
1994,11,1994-11-01,0.67
1994,12,1994-12-01,0.68
1995,1,1995-01-01,0.6
1995,2,1995-02-01,0.23
1995,3,1995-03-01,-0.54
1995,4,1995-04-01,-1.04
1995,5,1995-05-01,-1.18
1995,6,1995-06-01,-0.86
1995,7,1995-07-01,-0.57
1995,8,1995-08-01,-0.38
1995,9,1995-09-01,-0.4
1995,10,1995-10-01,-0.41
1995,11,1995-11-01,-0.64
1995,12,1995-12-01,-0.66
1996,1,1996-01-01,-0.65
1996,2,1996-02-01,-0.42
1996,3,1996-03-01,-0.82
1996,4,1996-04-01,-1.13
1996,5,1996-05-01,-1.64
1996,6,1996-06-01,-1.43
1996,7,1996-07-01,-1.3
1996,8,1996-08-01,-0.92
1996,9,1996-09-01,-0.76
1996,10,1996-10-01,-0.84
1996,11,1996-11-01,-1.03
1996,12,1996-12-01,-1.08
1997,1,1997-01-01,-0.74
1997,2,1997-02-01,-0.14
1997,3,1997-03-01,0.48
1997,4,1997-04-01,1.29
1997,5,1997-05-01,2.12
1997,6,1997-06-01,3.02
1997,7,1997-07-01,3.57
1997,8,1997-08-01,3.85
1997,9,1997-09-01,3.85
1997,10,1997-10-01,4.01
1997,11,1997-11-01,4.08
1997,12,1997-12-01,4.06
1998,1,1998-01-01,3.49
1998,2,1998-02-01,3.03
1998,3,1998-03-01,2.76
1998,4,1998-04-01,2.81
1998,5,1998-05-01,2.66
1998,6,1998-06-01,2.22
1998,7,1998-07-01,1.58
1998,8,1998-08-01,0.87
1998,9,1998-09-01,0.49
1998,10,1998-10-01,0.11
1998,11,1998-11-01,-0.05
1998,12,1998-12-01,-0.4
1999,1,1999-01-01,-0.49
1999,2,1999-02-01,-0.4
1999,3,1999-03-01,-0.42
1999,4,1999-04-01,-0.44
1999,5,1999-05-01,-0.67
1999,6,1999-06-01,-0.46
1999,7,1999-07-01,-0.32
1999,8,1999-08-01,-0.46
1999,9,1999-09-01,-0.69
1999,10,1999-10-01,-1.08
1999,11,1999-11-01,-0.96
1999,12,1999-12-01,-0.91
2000,1,2000-01-01,-0.66
2000,2,2000-02-01,-0.56
2000,3,2000-03-01,-0.3
2000,4,2000-04-01,-0.21
2000,5,2000-05-01,-0.16
2000,6,2000-06-01,-0.25
2000,7,2000-07-01,-0.37
2000,8,2000-08-01,-0.36
2000,9,2000-09-01,-0.37
2000,10,2000-10-01,-0.59
2000,11,2000-11-01,-0.86
2000,12,2000-12-01,-0.95
2001,1,2001-01-01,-0.68
2001,2,2001-02-01,-0.25
2001,3,2001-03-01,0.02
2001,4,2001-04-01,-0.05
2001,5,2001-05-01,-0.39
2001,6,2001-06-01,-0.67
2001,7,2001-07-01,-0.75
2001,8,2001-08-01,-0.88
2001,9,2001-09-01,-1.07
2001,10,2001-10-01,-1.09
2001,11,2001-11-01,-1.04
2001,12,2001-12-01,-0.89
2002,1,2002-01-01,-0.59
2002,2,2002-02-01,0.04
2002,3,2002-03-01,0.57
2002,4,2002-04-01,0.81
2002,5,2002-05-01,0.67
2002,6,2002-06-01,0.3
2002,7,2002-07-01,-0.03
2002,8,2002-08-01,-0.12
2002,9,2002-09-01,0.07
2002,10,2002-10-01,0.48
2002,11,2002-11-01,0.79
2002,12,2002-12-01,0.74
2003,1,2003-01-01,0.4
2003,2,2003-02-01,0.04
2003,3,2003-03-01,-0.19
2003,4,2003-04-01,-0.69
2003,5,2003-05-01,-1.12
2003,6,2003-06-01,-1.3
2003,7,2003-07-01,-0.78
2003,8,2003-08-01,-0.51
2003,9,2003-09-01,-0.1
2003,10,2003-10-01,-0.01
2003,11,2003-11-01,0.22
2003,12,2003-12-01,0.1
2004,1,2004-01-01,0.02
2004,2,2004-02-01,-0.27
2004,3,2004-03-01,-0.39
2004,4,2004-04-01,-0.89
2004,5,2004-05-01,-1.01
2004,6,2004-06-01,-1.11
2004,7,2004-07-01,-0.86
2004,8,2004-08-01,-0.62
2004,9,2004-09-01,-0.32
2004,10,2004-10-01,0.16
2004,11,2004-11-01,0.38
2004,12,2004-12-01,0.36
2005,1,2005-01-01,-0.17
2005,2,2005-02-01,-0.74
2005,3,2005-03-01,-0.88
2005,4,2005-04-01,-0.68
2005,5,2005-05-01,-0.46
2005,6,2005-06-01,-0.46
2005,7,2005-07-01,-0.5
2005,8,2005-08-01,-0.52
2005,9,2005-09-01,-0.84
2005,10,2005-10-01,-1.18
2005,11,2005-11-01,-1.23
2005,12,2005-12-01,-0.92
2006,1,2006-01-01,-0.37
2006,2,2006-02-01,-0.15
2006,3,2006-03-01,-0.52
2006,4,2006-04-01,-0.78
2006,5,2006-05-01,-0.76
2006,6,2006-06-01,-0.19
2006,7,2006-07-01,0.23
2006,8,2006-08-01,0.62
2006,9,2006-09-01,0.91
