UBIGEO,COD_CULTIVO,CROP_STD,ANO,VARIABLE,VALUE,Z_SCORE,THRESHOLD_ABS_Z,ACTION
200405,15010040000,PLATANOS Y BANANAS,2023,PRECIO,2.2240399002493767,3.6152937153965765,3.0,RETAIN_FOR_REVIEW
200406,15010040000,PLATANOS Y BANANAS,2023,PRECIO,2.1844,3.5172341736424864,3.0,RETAIN_FOR_REVIEW
200407,15010040000,PLATANOS Y BANANAS,2023,PRECIO,2.112414285714286,3.3391588981929967,3.0,RETAIN_FOR_REVIEW
200605,15010040000,PLATANOS Y BANANAS,2016,VERDE_ACTUAL,2046.0,3.4823255327169576,3.0,RETAIN_FOR_REVIEW
200605,15010040000,PLATANOS Y BANANAS,2017,VERDE_ACTUAL,2046.0,3.4823255327169576,3.0,RETAIN_FOR_REVIEW
200605,15010040000,PLATANOS Y BANANAS,2018,VERDE_ACTUAL,2046.0,3.4823255327169576,3.0,RETAIN_FOR_REVIEW
200605,15010040000,PLATANOS Y BANANAS,2019,VERDE_ACTUAL,2046.0,3.4823255327169576,3.0,RETAIN_FOR_REVIEW
200605,15010040000,PLATANOS Y BANANAS,2020,VERDE_ACTUAL,2046.0,3.4823255327169576,3.0,RETAIN_FOR_REVIEW
200605,15010040000,PLATANOS Y BANANAS,2021,VERDE_ACTUAL,2046.0,3.4823255327169576,3.0,RETAIN_FOR_REVIEW
200605,15010040000,PLATANOS Y BANANAS,2022,VERDE_ACTUAL,2076.0,3.5429712812739265,3.0,RETAIN_FOR_REVIEW
200605,15010040000,PLATANOS Y BANANAS,2023,VERDE_ACTUAL,2008.0,3.405507584544797,3.0,RETAIN_FOR_REVIEW
200607,15010040000,PLATANOS Y BANANAS,2016,VERDE_ACTUAL,2214.0,3.8219417246359826,3.0,RETAIN_FOR_REVIEW
200607,15010040000,PLATANOS Y BANANAS,2017,VERDE_ACTUAL,2214.0,3.8219417246359826,3.0,RETAIN_FOR_REVIEW
200607,15010040000,PLATANOS Y BANANAS,2018,VERDE_ACTUAL,2214.0,3.8219417246359826,3.0,RETAIN_FOR_REVIEW
200607,15010040000,PLATANOS Y BANANAS,2019,VERDE_ACTUAL,2214.0,3.8219417246359826,3.0,RETAIN_FOR_REVIEW
200607,15010040000,PLATANOS Y BANANAS,2020,VERDE_ACTUAL,2214.0,3.8219417246359826,3.0,RETAIN_FOR_REVIEW
200607,15010040000,PLATANOS Y BANANAS,2021,VERDE_ACTUAL,2214.0,3.8219417246359826,3.0,RETAIN_FOR_REVIEW
200607,15010040000,PLATANOS Y BANANAS,2022,VERDE_ACTUAL,2214.0,3.8219417246359826,3.0,RETAIN_FOR_REVIEW
200607,15010040000,PLATANOS Y BANANAS,2023,VERDE_ACTUAL,2114.0,3.6197892294460865,3.0,RETAIN_FOR_REVIEW
